x, y
75927.6, 2.52403e-06
76396.9, 2.6101e-06
76866.2, 2.69767e-06
77335.5, 2.78673e-06
77804.8, 2.87724e-06
78274.1, 2.96917e-06
78743.4, 3.06249e-06
79212.7, 3.15716e-06
79682, 3.25314e-06
80151.3, 3.35039e-06
80620.6, 3.44888e-06
81089.9, 3.54856e-06
81559.2, 3.64938e-06
82028.5, 3.75131e-06
82497.8, 3.8543e-06
82967.2, 3.95828e-06
83436.5, 4.06323e-06
83905.8, 4.16908e-06
84375.1, 4.27578e-06
84844.4, 4.38328e-06
85313.7, 4.49152e-06
85783, 4.60044e-06
86252.3, 4.71e-06
86721.6, 4.82012e-06
87190.9, 4.93076e-06
87660.2, 5.04185e-06
88129.5, 5.15332e-06
88598.8, 5.26513e-06
89068.1, 5.3772e-06
89537.4, 5.48947e-06
90006.7, 5.60189e-06
90476.1, 5.71438e-06
90945.4, 5.82689e-06
91414.7, 5.93935e-06
91884, 6.05169e-06
92353.3, 6.16385e-06
92822.6, 6.27577e-06
93291.9, 6.38738e-06
93761.2, 6.49862e-06
94230.5, 6.60942e-06
94699.8, 6.71973e-06
95169.1, 6.82947e-06
95638.4, 6.93859e-06
96107.7, 7.04702e-06
96577, 7.1547e-06
97046.3, 7.26157e-06
97515.6, 7.36757e-06
97984.9, 7.47265e-06
98454.3, 7.57673e-06
98923.6, 7.67977e-06
99392.9, 7.78171e-06
99862.2, 7.88248e-06
100331, 7.98205e-06
100801, 8.08034e-06
101270, 8.17732e-06
101739, 8.27293e-06
102209, 8.36711e-06
102678, 8.45982e-06
103147, 8.55102e-06
103617, 8.64065e-06
104086, 8.72868e-06
104555, 8.81505e-06
105025, 8.89973e-06
105494, 8.98267e-06
105963, 9.06385e-06
106432, 9.14321e-06
106902, 9.22073e-06
107371, 9.29636e-06
107840, 9.37009e-06
108310, 9.44187e-06
108779, 9.51168e-06
109248, 9.57949e-06
109718, 9.64528e-06
110187, 9.70901e-06
110656, 9.77068e-06
111126, 9.83024e-06
111595, 9.8877e-06
112064, 9.94303e-06
112533, 9.99621e-06
113003, 1.00472e-05
113472, 1.00961e-05
113941, 1.01427e-05
114411, 1.01872e-05
114880, 1.02295e-05
115349, 1.02695e-05
115819, 1.03074e-05
116288, 1.0343e-05
116757, 1.03764e-05
117226, 1.04076e-05
117696, 1.04366e-05
118165, 1.04634e-05
118634, 1.04879e-05
119104, 1.05103e-05
119573, 1.05305e-05
120042, 1.05484e-05
120512, 1.05642e-05
120981, 1.05779e-05
121450, 1.05894e-05
121920, 1.05987e-05
122389, 1.06059e-05
122858, 1.0611e-05
123327, 1.0614e-05
123797, 1.0615e-05
124266, 1.06139e-05
124735, 1.06107e-05
125205, 1.06056e-05
125674, 1.05984e-05
126143, 1.05893e-05
126613, 1.05783e-05
127082, 1.05653e-05
127551, 1.05505e-05
128021, 1.05337e-05
128490, 1.05152e-05
128959, 1.04948e-05
129428, 1.04727e-05
129898, 1.04488e-05
130367, 1.04231e-05
130836, 1.03958e-05
131306, 1.03669e-05
131775, 1.03363e-05
132244, 1.03041e-05
132714, 1.02703e-05
133183, 1.0235e-05
133652, 1.01982e-05
134122, 1.016e-05
134591, 1.01203e-05
135060, 1.00792e-05
